,0
281,11.367628
282,24.761118
283,29.481934
284,43.744255
285,59.290268
286,44.8573
287,37.010338
288,72.07945
289,65.62217
290,29.955318
291,28.433168
292,17.206276
293,20.212229
294,20.041313
295,49.141808
296,24.565268
297,33.38474
298,12.28155
299,14.105915
300,17.520288
301,6.8293257
302,45.68078
303,15.466005
304,5.983873
305,8.834197
306,49.352474
307,46.838776
308,39.23705
309,57.54479
310,10.994703
311,16.361488
312,18.973845
313,21.197012
314,20.954184
315,17.648079
316,18.153627
317,5.449518
318,42.647926
319,42.685856
320,37.84779
321,16.501108
322,5.087371
323,69.254234
324,53.328598
325,36.50751
326,10.769733
327,9.872679
328,23.81333
329,8.804375
330,39.223392
331,38.648678
332,22.954973
333,14.870832
334,24.455406
335,52.902607
336,20.447063
337,25.90005
338,13.071034
339,24.308563
340,26.444176
341,26.554253
342,22.862707
343,15.530665
344,21.177937
345,17.449158
346,8.512598
347,37.857513
348,69.04539
349,34.98936
350,30.298811
351,23.019718
352,13.748653
353,11.421376
354,40.177383
355,47.39441
356,15.326626
357,44.51344
358,18.570423
359,65.06627
360,7.3020263
361,30.89363
362,19.953562
363,30.595524
364,28.475853
365,5.66948
366,43.8863
367,28.087904
368,32.02242
369,31.26095
370,24.554153
371,28.651308
372,15.261829
373,21.806305
374,16.430285
375,13.208684
376,4.1251564
377,1.3716071
378,50.84499
379,41.22108
380,25.126726
381,12.712595
382,10.659829
383,36.40371
384,30.882812
385,14.560068
386,17.647589
387,20.759731
388,12.709613
389,0.84793025
390,53.580772
391,48.04589
392,65.00569
393,22.354652
394,38.80289
395,17.667284
396,10.458879
397,16.97821
398,26.364367
399,15.287559
400,16.696121
401,2.9329898
402,38.928337
403,65.63756
404,62.81577
405,14.761255
406,14.862089
407,33.848984
408,32.91402
409,19.762463
410,26.968655
411,18.765684
412,50.83205
413,25.080189
414,48.008347
415,40.16635
416,27.201628
417,46.00623
418,28.15234
419,27.798452
420,34.4041
421,15.457205
422,15.846286
423,33.327106
424,30.683367
425,8.228675
426,27.444103
427,49.815727
428,38.944077
429,15.951498
430,26.790428
431,53.137848
432,66.56008
433,35.098778
434,19.336363
435,18.477648
436,17.523949
437,3.7413607
438,54.685623
439,30.139751
440,27.060472
441,8.601946
442,7.766384
443,6.8643117
444,20.139563
445,26.39077
446,18.949505
447,12.631039
448,12.724415
449,8.622054
450,40.69855
451,32.920685
452,11.714806
453,65.501076
454,13.202478
455,18.996069
456,38.909378
457,66.4971
458,46.921467
459,20.218756
460,44.53428
461,10.853316
462,16.680841
463,17.276499
464,27.944185
465,7.560836
466,57.912495
467,40.376083
468,16.961191
469,25.264225
470,50.30047
471,14.4715185
472,6.5840473
473,11.887868
474,19.262743
475,9.727791
476,8.67667
477,7.2210298
478,14.294335
479,14.150647
480,27.522087
481,16.818043
482,25.108269
483,10.023139
484,9.95699
485,8.815344
486,63.931076
487,44.168983
488,31.113676
489,33.925068
490,5.7968855
491,51.000355
492,14.035431
493,14.034702
494,21.180742
495,10.266152
496,9.925486
497,21.920599
498,47.396328
499,60.93147
500,35.022434
501,36.0465
502,19.820831
503,40.521366
504,65.77943
505,28.939865
506,61.957424
