,0
260,1.4366175
261,0.85360634
262,104.92412
263,251.67154
264,63.1928
265,57.788013
266,78.34804
267,134.22905
268,40.697594
269,0.74722594
270,4.386381
271,17.328602
272,3.3340423
273,1.0320227
274,67.40428
275,203.02536
276,76.23003
277,175.67343
278,31.211645
279,16.461382
280,15.518168
281,3.2917075
282,1.2259899
283,1.7527337
284,3.6974738
285,112.511154
286,47.315758
287,144.09677
288,163.61658
289,86.28883
290,130.04057
291,55.27583
292,104.38593
293,22.253265
294,0.68488204
295,1.9139
296,7.7670527
297,18.23677
298,62.910946
299,262.47028
300,163.17325
301,81.717255
302,185.75648
303,172.27397
304,26.969776
305,3.8455114
306,3.2164254
307,0.53582793
308,0.49124318
309,10.042588
310,57.762352
311,101.96296
312,20.032768
313,151.34196
314,24.016785
315,42.159546
316,12.459078
317,4.7134166
318,5.968027
319,2.121779
320,12.16111
321,43.311424
322,15.51048
323,98.90737
324,199.6145
325,108.27712
326,14.874778
327,6.570173
328,19.465601
329,0.45170057
330,1.8835932
331,0.7074261
332,0.7508777
333,24.263067
334,71.96295
335,84.27523
336,55.39513
337,156.26099
338,86.842705
339,25.973566
340,53.956367
341,21.639572
342,0.6261619
343,2.5306005
344,2.3002243
345,74.53129
346,25.597837
347,104.66555
348,182.67313
349,112.49351
350,68.017876
351,117.724464
352,41.601986
353,6.150398
354,0.8693072
355,2.3129678
356,3.9165368
357,94.70879
358,93.48555
359,262.38745
360,46.304913
361,113.91872
362,232.30325
363,35.76635
364,55.23251
365,46.98228
366,1.9078547
367,0.9439983
368,4.980953
369,50.877937
370,39.675297
371,4.2085037
372,100.70273
373,32.249557
374,158.88263
375,96.374886
376,6.629514
377,10.552101
378,0.8845146
379,1.4775813
380,0.37203264
381,27.897522
382,118.32416
383,229.69308
384,28.495768
385,15.266046
386,42.134304
387,25.962317
388,18.366592
389,16.52614
390,2.8030348
391,2.3692598
392,18.28537
393,9.493588
394,25.976223
395,13.0543585
396,18.04021
397,127.26697
398,115.2884
399,45.641384
400,10.090441
401,1.5042757
402,4.5323424
403,5.859516
404,17.519373
405,23.04385
406,64.076866
407,202.05676
408,6.9012394
409,87.13659
410,14.794913
411,38.293835
412,25.279535
413,6.4291863
414,15.591838
415,1.3968973
416,6.1755857
417,22.644287
418,68.463356
419,144.61046
420,203.77315
421,39.993465
422,180.33736
423,44.37944
424,27.477749
425,9.874866
426,0.30165553
427,0.33136356
428,0.6743331
429,126.70418
430,71.71234
431,146.36096
432,350.69818
433,266.78766
434,84.92333
435,103.21209
436,7.7498326
437,10.3321295
438,0.8634744
439,3.3978832
440,10.55981
441,9.365938
442,112.69465
443,6.7287097
444,101.0259
445,13.910473
446,199.22194
447,72.485016
448,19.485287
449,1.6896399
450,2.0242398
451,0.097177885
452,0.95641506
453,18.037779
454,103.94288
455,66.0715
456,167.04799
457,275.38547
458,143.51613
459,38.468422
460,97.894714
461,3.795513
462,1.0231342
463,2.462361
464,18.022577
465,2.507612
466,33.363678
467,154.95126
468,56.306057
469,2.25881
470,91.42336
471,59.35464
472,45.5618
473,4.3183913
474,1.0638177
475,1.6379193
476,0.29097274
477,0.36738226
478,37.50185
479,53.47326
480,113.33725
481,46.65054
482,57.169956
483,9.447802
484,2.8671725
